"titulo","telefono","correo","pagina","descripcion"
"Newtenberg","+562 2698 2515","sdocmac@newtenberg.com","www.newtenberg.com","Equipo de 20 profesionales en Chile y Colombia, especializados en la administración y conciliación de grandes colecciones de datos y contenidos, implementación de portales web y la creación de repositorios de datos unificados, específicamente enfocados en el desarrollo de grandes portales de gobierno."
"Mining Tag","+562 2495 7780","contacto@miningtag.cl","www.miningtag.cl","Empresa chilena que desarrolla e implementa soluciones tecnológicas de monitoreo, automatización y optimización para mejorar la seguridad, operación y productividad de sus clientes del área minera."
"Nisum","+562 222079698","mlewit@kiteknology.com","www.nisum.com","Nisum Chile es una empresa internacional con más de 1.300 empleados en 4 países, dedicados a habilitar la transformación digital de empresas líderes, la exportación de servicios de desarrollo de software y la innovación."
"Finvox","56228979456","mariapaula@finvox.com","www.finvox.com","Finvox es una empresa chilena establecida en el año 2012 y que se dedica al desarrollo e implementación de software especializado para la industria financiera. Su mercado consiste en entidades financieras en búsqueda de modernizar y mejorar sus servicios. Actualmente cuenta con oficina en Santiago y personal en Lima. Además, la compañía ha crecido en dos países en los últimos cuatro años con 5 importantes clientes."
"Kauel","+56 9 66097938","contacto@kauel.com","www.kauel.com","Kauel es una compañía focalizada en desarrollos de ingeniería informática y electrónica, para la implementación de software y hardware."
"Tuxpan","56322680906","tuxpan@tuxpan.com","www.tuxpan.com","Sistematizar conversaciones que agreguen valor a sus clientes es el objetivo de Tuxpan, firma chilena que provee productos y servicios ligados a las tecnologías de la información."
"Tuxpan","56322680906","tuxpan@tuxpan.com","www.tuxpan.com","Sistematizar conversaciones que agreguen valor a sus clientes es el objetivo de Tuxpan, firma chilena que provee productos y servicios ligados a las tecnologías de la información."
"Testgroup","562 2607 5708","gestion.comercial@testgroup.cl","www.testgroup.cl","Empresa que provee soluciones innovadoras de QA personalizadas a diversos clientes. Cuenta con más de 16 años de experiencia y posee presencia internacional en Chile, Colombia, El Salvador y Costa Rica."
"Soluciones Orión","562 2640 3900","info@solucionesorion.com","www.solucionesorion.com","Soluciones Orión impulsa la transformación digital en la empresa, asegurando mayor agilidad, eficiencia y competitividad, además de resguardar la seguridad de la información. Cuenta con oficinas en México, Perú, Argentina, Ecuador y Colombia."
"Option","562 2887 3700","foliver@optionit.com","www.option.cl","Equipo de 30 profesionales especializados en el desarrollo de ecosistemas de software para clientes en Latinoamérica, Suecia, Finlandia y España. Cuenta con oficinas en Miami, Estocolmo y Lima."
"ISC","+562 2236 2306","ventas@isc.cl","www.isc.cl","Empresa de tecnologías de la información pionera en el ecosistema de innovación, con más de 20 años de experiencia, ofreciendo soluciones y servicios para la banca, las telecomunicaciones y organismos gubernamentales."
"Tech-K","+56 2 22441121","pgelmi@techk.cl","www.techk.cl","Empresa que se especializa en Business Intelligence como servicio. Procesa y analiza grandes volúmenes de información a través de la tecnología para entregar sus servicios."
"M-risk","+56 2 29 404 100","contacto@m-risk.com","www.m-risk.com","M-risk es líder en el desarrollo de una plataforma tecnológica para la gestión de sustentabilidad y administración de riesgo. Software que administra riesgos operacionales y estratégicos desde una gestión integral en Salud & Seguridad, Medio Ambiente y Comunidades (HSEC) colaborando con la sostenibilidad en los negocios."
"Trencadis Innovación","+562 22331240","contacto@trencadis.cl","www.trencadisinnovacion.com","Consultora de innovación, que ayuda a las empresas a innovar en Chile, Colombia y México."
"OGR","+562 2 23069220","contacto@ogr.cl","www.ogr.cl","Consultora de innovación tecnológica que pretende desarrollar las capacidades de los estudiantes, reduciendo así la brecha social y económica."
"ComparaOnline‎","+562 2 483 9100","contact@comparaonline.com","www.comparaonline.cl","Plataforma web de asesoría financiera."
"Mediastream","+56 2 2402 9750","contacto@mediastre.am","mediastre.am","Mediastream se fundó en 2007 en Chile con la pasión por transmitir audio y video por internet y gracias a la experiencia lograda en este tiempo la empresa se expandió a Brasil, Colombia y Estados Unidos."
"Wisetrack","+562 23893000","info@wisetrack.cl","www.wisetrack.cl","Wisetrack nace en el año 2005 para ofrecer servicios tecnológicos especializados y soluciones de gestión y control de flota, consolidando una propuesta de valor agregado."
"Mi Telemetría","+562 24957727","info@savtec.cl","www.mitelemetria.cl","Empresa dedicada al desarrollo de tecnologías para el mundo agrícola, marítimo y energético."
"Agile Ingeniería y Consultoría Ltda.","+562 22134014","contacto@agile.cl","www.agile.com","Oracle adquirió a Agile, un proveedor líder de soluciones de software de administración del ciclo de vida del producto (PLM). Las soluciones PLM de Agile impulsan la innovación del producto y el proceso de introducción en una variedad de industrias, incluidas las de alta tecnología, ciencias de la vida, fabricación industrial y productos envasados para el consumidor."
"Adistec Chile Spa","+56 2 27565801","chile@adistec.com","www.adistec.com","Desarrollador de Seguridad y Datacenter, que tiene un portafolio sólido, integral y con marcas líderes en el mercado. Brinda valor mediante un equipo de ingeniería altamente reconocido en la industria."
"Adexus","+56 2 2686 1000","marketing@adexus.cl","www.adexus.cl","Empresa con más de 25 años de experiencia en Chile, dedicada al Outsourcing de procesos de negocios, tecnologías de la información, comunicaciones y aplicaciones, capaces de desarrollar e implementar exitosamente soluciones que agregan valor a los procesos de negocios de sus clientes."
"Adexus","+56 2 2686 1000","marketing@adexus.cl","www.adexus.cl","Empresa con más de 25 años de experiencia en Chile, dedicada al Outsourcing de procesos de negocios, tecnologías de la información, comunicaciones y aplicaciones, capaces de desarrollar e implementar exitosamente soluciones que agregan valor a los procesos de negocios de sus clientes."
"Acepta","+562 24968100","facturaelectronica@acepta.com","www.acepta.com","Lidera el mercado de emisión de certificados de firma electrónica, factura electrónica, documentos electrónicos y biometría, aplicada a procesos de negocio, explorando además el mercado internacional."
"TOC Biometrics","+56 2 2946 5752","contacto@toc.cl","www.toc.cl","Fundada en 2010, TOC S.A. es una empresa especializada en el desarrollo de tecnologías de verificación de identidad y aplicaciones derivadas de la teconología biométrica."
"Quaos","+56 2 3223 9320","info@quaos.cl","www.quaos.cl","Oficina de servicios profesionales independiente especializada en la aplicación de Data Science para resolver problemas financieros reales de alta complejidad, todo con el apoyo de tecnología propietaria de análisis y modelamientos avanzados referida bajo el nombre de AyMA®."
"Tinkit","+562 24068600","contacto@tinkit.co","tinkit.co","Software de referidos o recomendaciones para incrementar ventas. Plataforma SaaS de incremento de ventas a través del marketing de referidos. Medición del ROI con analíticas de “referrals” con la digitalización del marketing de “boca a boca”."
"Ceptinel Risk Manager","contacto@ceptinel.com","ceptinel.com","","Sistema que monitorea las actividades de la empresa y notifica cuando se detectan situaciones que requieren revisión en tiempo real. Orientados a Gerencias de Entornos Bursátiles, Operacionales, Riesgo, Compliance y Marketing, basado en la actividad del cliente."
"Sofía Gestión Agrícola","+567 2383402","websofia@reset.cl","www.sofiagestionagricola.cl","Plataforma web de gestión agrícola, amable e intuitiva, que convierte las libretas de anotaciones y planillas de Excel (tarjas), en un sistema integral de registro, administración online y de uso gratuito."
"Smart Clarity","+56 9 7764 7529","contacto@smartclarity.com","www.smartclarity.com","Compañía que desarrolla software de gestión y proyectos de ingeniería eléctrica, relacionados con eficiencia, reducción de pérdidas y control de riesgos."
"DBNeT","+562 25847800","dbnet@dbnetcorp.com","www.dbnet.cl","Fundada hace 24 años en Chile, DBNeT es una empresa de soluciones de tecnología. Con una sólida y exitosa trayectoria,  genera valor a sus clientes y accionistas, en armonía con empleados, proveedores y con la sociedad."
"Team Core","+562 26665551","soporte@teamcore.cl","www.teamcore.cl","Provee un método de trabajo único para que las empresas de consumo masivo aumenten sus ventas, al mismo tiempo generan alta productividad en su gestión de punto de venta. Usando algoritmos de Machine Learning y Big Data, TeamCore moviliza a su equipo comercial utilizando tareas inteligentes ordenadas por valor económico y controlando luego su solución."
"AgendaPro","+569 4271 7566","contacto@agendapro.cl","agendapro.co/cl","Software de gestión para negocios de salud, belleza y deporte."
"Cognitiva Chile SPA","+56 23210 2000","info@cognitiva.la","www.cognitiva.la","Empresa de consultoría de negocios y soluciones de computación cognitiva. A través de una alianza estratégica con IBM, se convirtió en la única empresa responsable de comercializar Watson en español."
"Coasin Chile S.A.","+562 2410 8000","contacto@coasin.cl","www.coasin.cl","Empresa líder capaz de integrar soluciones tecnológicas de alto valor agregado y prestar servicios TIC en modalidad outsourcing, de manera integral y verticalizada a todas las industrias."
"ITQ Latam","+562 2350 9300","contacto@itqlatam.com","www.itqlatam.com","Empresa de integración de tecnologías independientes que trabaja y ofrece las mejores tecnologías y soluciones a sus clientes, asumiendo la responsabilidad integral en cada uno de sus proyectos y servicios, entregando servicios de alta calidad. Todos sus proyectos, servicios y procesos están diseñados con un enfoque en la calidad y en la satisfacción de los clientes, basados en metodologías de trabajo y mejores prácticas como ISO:9001 e ITIL."
"Sociedad de Computación Datasoft S.A.","+562 28419800","datasoft@datasoft.cl","www.datasoft.cl","Comienza sus operaciones en 1989, focalizándose en soluciones de seguridad en el ámbito TI, como respuesta a la preocupación de las empresas por adoptar medidas que les permitan resguardar sus plataformas tecnológicas y sus sistemas de información."
"Integradores de Tecnología y Sistemas S.A.","+56 2 2713 3600","contacto@intesis.cl","www.intesis.cl","Empresa chilena de Integración, Consultoría y Servicios de TI, con más de 10 años de experiencia en el mercado nacional. Cuenta con un equipo de 130 personas, mayoritariamente profesionales de ingeniería y técnicos con comprobada experiencia y certificaciones en las distintas especialidades de TI."
"Desis Ltda.","+562 29472800","desis@desis.cl","www.desis.cl","Está enfocada en desarrollar, adaptar y transferir tecnologías de información y de gestión para dar solución a problemas específicos, con el objeto de potenciar a las organizaciones insertas en este mercado, entendiendo y asumiendo la importancia de obtener beneficios económicos y humanos a través de la implementación de tecnologías en sus procesos tradicionales."
"Latinshare","+56 2 28864539","contacto@latinshare.com","latinshare.com","Consultora latinoamericana especializada en tecnologías de la información. Cuenta con un grupo de reconocidos y certificados profesionales, con una amplia experiencia implementando soluciones tecnológicas sobre SharePoint, Project Server, Office 365, SQL Server, Exchange, Yammer, Microsoft Azure y System Center, entre otras tecnologías Microsoft."
"Dell Computer de Chile Ltda.","+562 2685 6800","dell@dell.com","www.dell.com","Desarrolla, fabrica, vende y da soporte a computadoras personales, servidores, switches de red, programas informáticos, periféricos y otros productos relacionados con la tecnología."
"ITQ Latam","+562 2350 9300","contacto@itqlatam.com","www.itqlatam.com","Empresa de integración de tecnologías independientes que trabaja y ofrece las mejores tecnologías y soluciones a sus clientes, asumiendo la responsabilidad integral en cada uno de sus proyectos y servicios, entregando servicios de alta calidad. Todos sus proyectos, servicios y procesos están diseñados con un enfoque en la calidad y en la satisfacción de los clientes, basados en metodologías de trabajo y mejores prácticas como ISO:9001 e ITIL."
"Sociedad de Computación Datasoft S.A.","+562 28419800","datasoft@datasoft.cl","www.datasoft.cl","Comienza sus operaciones en 1989, focalizándose en soluciones de seguridad en el ámbito TI, como respuesta a la preocupación de las empresas por adoptar medidas que les permitan resguardar sus plataformas tecnológicas y sus sistemas de información."
"Integradores de Tecnología y Sistemas S.A.","+56 2 2713 3600","contacto@intesis.cl","www.intesis.cl","Empresa chilena de Integración, Consultoría y Servicios de TI, con más de 10 años de experiencia en el mercado nacional. Cuenta con un equipo de 130 personas, mayoritariamente profesionales de ingeniería y técnicos con comprobada experiencia y certificaciones en las distintas especialidades de TI."
"Intersystems Chile Ltda.","+562 2892 6000","support@intersystems.com","www.intersystems.com/cl","Compañía desarrolladora de software, bases de datos y aplicaciones."
"BNovus","+562 2599 7199","contacto@intercapit.com","www.bnovus.cl","Gestiona el talento de su organización a través de un software basado en estándares internacionales, donde el cruce de elementos tecnológicos, administrativos y técnicas de juego (Gamification), constituyen una solución real para recursos humanos y la empresa en general."
"Intel Tecnología Chile S.A.","+562 25827100","contacto@intelchile.com","www.intel.com","Fabricante de procesadores y soluciones tecnológicas."
"Universidad Tecnológica de Chile Inacap","+562 800 20 25 20","informaciones@inacap.cl","www.inacap.com","Inacap es un Sistema Integrado de Educación Superior, constituido por la Universidad Tecnológica de Chile Inacap, el Instituto Profesional Inacap y el Centro de Formación Técnica Inacap, que comparten una misión y valores institucionales. El Sistema Integrado de Educación Superior Inacap y su Organismo Técnico de Capacitación Inacap están presentes, a través de sus 26 sedes, a lo largo de Chile."
"Bsale","+56 2 2 2584 7206","ayuda@bsale.app","www.bsale.cl","Empresa que ofrece herramientas dirigidas a simplificar la administración del negocio de sus clientes."
"IBM de Chile S.A.C.","+562 2200 6000","bkrause@cl.ibm.com","www.ibm.com/cl-es","Fabrica y comercializa hardware y software para computadoras. Además ofrece servicios de infraestructura, alojamiento de Internet, y consultoría en una amplia gama de áreas relacionadas con la informática, desde computadoras centrales hasta nanotecnología."
"Hiway S.A.","+56 2 29407500","info@hiway.cl","www.hiway.cl","Empresa experta en soluciones de Tecnologías de Información y Comunicaciones. Como Partner Premier de Cisco, lleva más de 11 años entregando sus servicios al mercado latinoamericano."
"Infox","+562 32 328 8954","epc@infox.cl","www.infox.cl","Infox es una empresa de Hexa Informática Ltda., con 32 años de experiencia en el diseño, desarrollo, operación y mantención de grandes proyectos informáticos."
"GS1","+562 2 3278 3500","info@gs1chile.org","www.gs1chile.org","Es una organización mundial, que opera en más de 150 países, dedicada al desarrollo de estándares globales para la identificación de productos y servicios."
"Microsoft Chile S.A.","+562 2 3306000","contact@microsoft.com","www.microsoft.com/es-cl/","Fundada en 1975, Microsoft es el líder mundial en software, servicios, dispositivos y soluciones que ayudan a las personas y las empresas a desarrollar todo su potencial."
"Magnacom Chile S.A.","+56 2 2430 1515","contacto@magnacom.cl","www.magnacom.cl","Compañía enfocada en mejorar la posición competitiva de  sus clientes mediante la asesoría, diseño, desarrollo e implementación de plataformas de software, herramientas y aplicaciones informáticas adaptadas eficientemente a sus requerimientos específicos."
"Level 3 Chile S.A.","+562 24225900","info-chile@level3.com","www.level3.com","Es un proveedor líder en servicios de comunicación global, y crea soluciones que fortalecen el crecimiento, la eficacia y la seguridad de las empresas de todo el mundo."
"Morpho S.A.","+56 2 29238200","info@morpho.com","www.morpho.com","Con una combinación de actividades complementarias que abordan las necesidades específicas de cinco industrias principales (Servicios financieros, Telecomunicaciones, Identidad, Seguridad e IoT), OT-Morpho tiene una amplia presencia global y una experiencia tecnológica única en las áreas de Biometría, Autenticación, Seguridad digital, Datos y análisis de video."
"Safesigner SPA","+562 2 2474691","contacto@orand.cl","safesigner.com","Safesigner permite realizar cualquier tipo de operación financiera con el móvil de forma cómoda y segura, sin necesidad de utilizar tarjetas, tokens, o medios de seguridad complementarios."
"Safehis SPA","+562 22474691","contacto@safehis.com","www.safehis.com","Sus soluciones están enfocadas a apoyar la inteligencia de los procesos clínicos y han sido desarrolladas con el aporte de destacados profesionales del sector salud, con el objetivo de obtener altos impactos positivos en seguridad, calidad, eficiencia, ahorro, control y gestión de procesos."
"Red Universitaria Nacional","+562 2337 0300","Info@reuna.cl","www.reuna.cl","Es una corporación integrada por universidades, centros de investigación de excelencia y grupos astronómicos internacionales. Es la Red Nacional para Investigación y Educación Chilena (NREN por su sigla en inglés), y actualmente, está conformada por 34 instituciones."
"Red Hat Chile Limitada","+562 25977000","press@redhat.com","www.redhat.com/en/global/chile","Proveedor líder mundial de soluciones de open source."
"Rayen Salud SPA","+56 2 2588 8800","contacto@rayensalud.com","www.rayensalud.com","Es una empresa chilena innovadora de Servicios TI en Salud, con amplia experiencia en la incorporación de herramientas colaborativas e implementación de Ficha Clínica Electrónica para la gestión sanitaria, aportando en la mejora constante de la eficiencia y continuidad operacional de la estrategia digital en el sector salud, con un impacto concreto en la vida de las personas."
"Provectis S.A.","+562 24315900","info@provectis.cl","www.provectis.cl","Compañía especializada en el desarrollo e implementación de soluciones y servicios de misión crítica integrales para centros de datos. Combina la experiencia y profesionalismo de su equipo de ingenieros, arquitectos de especialidad y consultores y el sólido portafolio de productos y servicios de sus partners estratégicos tales como IBM, Hitachi, Veritas/Symantec, HP, Sumeru Solutions, Microsoft, EMC2, Vmware, NetGlobalis, Dell y Lenovo."
"Sonda S.A.","+562 26575000","corporativo@sonda.com","www.sonda.com","Proveedor de soluciones y servicios TI."
"Pontificia Universidad Católica de Chile","+562 23544000","uc@uc.cl","www.uc.cl","Fue fundada el 21 de junio de 1888 por iniciativa del Arzobispo de Santiago, Monseñor Mariano Casanova, con el objetivo de ser una institución que integrara la excelencia académica y una formación inspirada en la doctrina cristiana."
"Soluciones Expertas S.A.","+562 29232900","info@solex.cl","www.solex.cl","Empresa proveedora de soluciones tecnológicas, que implementa desde 1993 sistemas informáticos para la gestión de operaciones de diversas industrias."
"Paperless","+56 2 2589 5400","info@paperlessla.com","www.paperlessla.com/paperless/home/cl/","Empresa dedicada a la generación, procesamiento y administración de documentos electrónicos en Latinoamérica."
"Softgroup","2 24692055","jocqueteau@softgroup.cl","www.softgroup.cl","It provides technological development, software, outsourcing and consultancy services."
"Optimisa S.A.","+562 2335 8241","info@optimisa.cl","www.optimisa.cl","Cuenta con más de 31 años de experiencia, entregando servicios de integración, migración, mantenimiento, soporte, desarrollo y configuración en soluciones para medios de pago, en plataformas tales como: ON/2|BASE24|BASE24-eps. Tiene experiencia en redes y bancos en Latinoamérica."
"SOAInt Gestión S.A.","+562 26327701","contacto@soaint.com","soaint.com","Nació como una empresa consultora especializada en los nuevos estándares BPM, SOA, Seguridad, ECM y Modernización, sin embargo la evolución de estos conceptos como parte del nuevo modelo de arquitectura IT de las empresas, provocó una transformación en SOAInt para convertirse en una de las firmas líderes en el ámbito de transformación de arquitectura TI a nivel de Europa, Medio Oriente y Latinoamérica."
"Nubox SPA","+562 2 478 5000","contacto@nubox.com","www.nubox.com","Nació en 2001 en Santiago, Chile. En un principio se transformó en Servipyme, una filial del Banco del Desarrollo, siendo una de las primeras empresas en Chile en ofrecer software administrativo a través de la web y completamente online. Hoy es una compañía que brinda servicios de software de contabilidad, remuneraciones y de factura electrónica para contadores, pequeñas y medianas empresas."
"Seidor","+562 26564100","comunicacion@seidor.es","www.seidor.cl","Multinacional española del sector tecnológico que ofrece servicios y soluciones integrales en el ámbito de la consultoría de software y servicios informáticos. Su amplio portafolio cubre: consultoría, servicios de infraestructura, implantación, desarrollo y mantenimiento de aplicaciones y servicios de outsourcing."
"Novared Chile S.A.","+562 2499 9000","infochile@novared.net","www.novared.net","Fue fundada en Santiago de Chile a comienzos de 1995, respondiendo a los desafíos que las nuevas tecnologías relacionadas a internet estaban planteando en el mercado. Actualmente, con 18 años de existencia, la empresa se consagra en brindar soluciones integrales a sus clientes en el área tecnológica."
"Segacy SPA","+56 2 2431 5308","info@segacy.com","www.segacy.com","Empresa de consultoría de gestión dedicada al mejoramiento del rendimiento de TI, con enfoque regional en Latinoamérica."
"WOM","+562 23377600","julian.garate.p@wom.cl","www.wom.cl","WOM nace a partir de la compra de Nextel por parte de Novator, un fondo de inversiones internacional a comienzos de 2015. La compañía de telefonía celular y banda ancha móvil está liderada por el CEO Chris Bannister, quien cuenta con una gran experiencia en la industria."
"Security Advisor Chile SPA","+562 22640322","infocl@sadvisor.com","www.sadvisor.com/cl/","Empresa con foco exclusivo en soluciones de Seguridad de la Información, presente en la región desde 2000. Desde sus oficinas en Argentina, Chile y Uruguay, atiende una base instalada de más de 200.000 nodos, en más de 800 clientes en 16 países."
"Neosecure S.A.","+56 2 22905900","info@neosecure.com","www.neosecure.com","Compañía de ciberseguridad dedicada a enfrentar las amenazas y proteger los activos y sistemas de las organizaciones."
"SAP Agencia en Chile","+562 24403500","info.chile@sap.com","www.sap.com/latinamerica/index.html","Como líder de mercado en software de aplicaciones para empresas, SAP ayuda a las organizaciones a combatir los efectos de la complejidad, generar nuevas oportunidades para la innovación y el crecimiento, y mantenerse a la delantera de la competencia."
"NCR Chile Ltda.","+562 2687 1000","rossana.malebran@ncr.com","www.ncr.com","Es una TIC especializada en soluciones para la venta al por menor y la industria financiera."
"Samsung Electronics Chile Ltda.","+562 24858500","comunicacion@samsung.com","www.samsung.com/cl/","Desde su fundación en 1969 en Suwon, Corea, Samsung Electronics ha crecido hasta convertirse en una empresa líder en tecnología de la información, con más de 200 subsidiarias en todo el mundo. Entre los productos que ofrece la empresa se encuentran electrodomésticos como televisores, monitores, refrigeradores y lavadoras, al igual que productos de telecomunicación móvil, como smartphones y tablets."
"Microsystem S.A.","+56 2 2460 6400","info@microsystem.cl","www.microsystem.cl","Especialistas en soluciones tecnológicas para la gestión inteligente de la información y procesos de negocio, con el objetivo de incrementar la competitividad y productividad de sus clientes."
"Staff Tecnología y Procesos Eirl","+562 2601 4561","consultores@stafftp.com","www.stafftp.com","Por más de 10 años, han liderado numerosos proyectos de optimización y gestión de servicios TI, mediante la estandarización, monitoreo y mejora continua de procesos tecnológicos y de negocios."
"Synopsys Chile Ltda.","+562 7146800","www.synopsys.com","simone@synopsys.com","La empresa está a la vanguardia de las tecnologías inteligentes y de seguridad, herramientas avanzadas en el ámbito del diseño, la verificación, la integración de IP y las pruebas de seguridad de aplicaciones de chips de silicio."
"SYA Consultores Asociados Chile S.A.","+56 2 2940 1500","marketing@syachile.cl","www.syachile.cl","Fundada en 1989, es una compañía experta en tecnologías de misión crítica y continuidad de negocios, con orientación a proveer soluciones integrales, consultoría y diseños de arquitecturas tecnológicas."
"Switch Comunicaciones Ltda.","+562 22999999","info@switch.cl","www.switch.cl","Empresa chilena que nace en 1988. Proveedora de soluciones tecnológicas para los mercados de medianas y grandes empresas, Switch cuenta con experiencia en el desarrollo de exitosos proyectos tecnológicos en casi toda Latinoamérica.  Cuenta con un equipo humano de expertos en integración de sistemas y redes de comunicación, y una amplia red de partners con las últimas soluciones."
"Stefanini Chile S.A.","+56 2 25988800","stefanini@stefanini.com","stefanini.com/es/","Como una de las mayores multinacionales brasileñas de tecnología y actuando hace casi tres décadas con servicios de tecnologías de la información, la empresa invierte constantemente en innovaciones tecnológicas, con las mejores asociaciones, en adquisiciones de empresas en Brasil y en el extranjero, así como también en la contratación de profesionales altamente competentes."
"Trends Asesorías S.A.","+562 2206 4491","info@trends.cl","www.trends.cl","El grupo de empresas Trends tiene su base en Chile y opera en variados mercados del resto de América. Sus áreas de negocio abarcan distintos productos y servicios relacionados con Outsourcing, Consultoría, Tecnología, Comercio Electrónico y otros, en rubros como Finanzas, Telecomunicaciones, Salud, Educación, Comunicaciones y más."
"Tinet Soluciones Informáticas S.A.","+56 2 2663 6600","contacto@tinet.cl","www.tinet.cl","Empresa de servicios de tecnología digital. Brinda soluciones personalizadas y de alto valor para sus clientes."
"Teradata","+562 28629800","patricio.llaona@teradata.com","www.teradata.com.es","Empresa que ofrece resultados comerciales a través de soluciones tecnológicas en las áreas más importantes: desde la excelencia operativa y la optimización de activos, hasta la experiencia del cliente y la innovación de productos, para financiar la transformación y la mitigación de riesgos."
"Staff Tecnología y Procesos Eirl","+562 2601 4561","consultores@stafftp.com","www.stafftp.com","Por más de 10 años, han liderado numerosos proyectos de optimización y gestión de servicios TI, mediante la estandarización, monitoreo y mejora continua de procesos tecnológicos y de negocios."
"Synopsys Chile Ltda.","+562 7146800","www.synopsys.com","simone@synopsys.com","La empresa está a la vanguardia de las tecnologías inteligentes y de seguridad, herramientas avanzadas en el ámbito del diseño, la verificación, la integración de IP y las pruebas de seguridad de aplicaciones de chips de silicio."
"SYA Consultores Asociados Chile S.A.","+56 2 2940 1500","marketing@syachile.cl","www.syachile.cl","Fundada en 1989, es una compañía experta en tecnologías de misión crítica y continuidad de negocios, con orientación a proveer soluciones integrales, consultoría y diseños de arquitecturas tecnológicas."
"Switch Comunicaciones Ltda.","+562 22999999","info@switch.cl","www.switch.cl","Empresa chilena que nace en 1988. Proveedora de soluciones tecnológicas para los mercados de medianas y grandes empresas, Switch cuenta con experiencia en el desarrollo de exitosos proyectos tecnológicos en casi toda Latinoamérica.  Cuenta con un equipo humano de expertos en integración de sistemas y redes de comunicación, y una amplia red de partners con las últimas soluciones."
"Sistemas Expertos","+562 32024575","jaime.araya@sistemasexpertos.cl","www.sistemasexpertos.cl","Empresa chilena que desarrolla todo en open source. Su foco principal es el ámbito de la salud, tienen sistemas ERP HIS y de apoyo. En la parte de movilidad, cuenta con sistemas de telemonitoreo de pacientes con máquinas que contienen sensores y así poder controlar a distancia a pacientes con enfermedades crónicas."
"MetricArts","+562 29489681","pcofre@metricarts.com","www.metricarts.com","MetricArts ofrece soluciones para ciudades inteligentes basadas en dos focos: Foco Transporte, basado en aplicaciones de Visión Computacional para la detección de evasión en el pago; y Foco Ambiental, basado en sensores IoT para la generación de alertas tempranas ambientales, y descubrimiento de patrones para la mejora de políticas públicas asociadas."
"Xenitt","+56 9512 470 910","contacto@xenitt.cl","http://new.xenitt.cl/","Empresa que apoya a las empresas y ciudades en su proceso de transformación digital, mediante el desarrollo y creación de plataformas web, aplicaciones móviles, dispositivos electrónicos y sensores inteligentes."
